node,N,class,order,family,subfamily,genus,cat,Resource Method,Consumer Method
Ranunculus penicillatus,1.129,NA,Ranunculales,Ranunculaceae,Ranunculoideae,Ranunculus,producer,exact,exact
Berula erecta,NA,NA,Apiales,Apiaceae,Apioideae,Berula,producer,exact,exact
Nasturtium officinale,NA,NA,Brassicales,Brassicaceae,NA,Nasturtium,producer,exact,exact
Lemna ,NA,NA,Alismatales,Araceae,Lemnoideae,Lemna,producer,exact,genus
Epilobium hirsutum,NA,NA,Myrtales,Onagraceae,Onagroideae,Epilobium,producer,exact,exact
Epilobium parviflorum,0.065,NA,Myrtales,Onagraceae,Onagroideae,Epilobium,producer,exact,exact
Epilobium tetragonum,NA,NA,Myrtales,Onagraceae,Onagroideae,Epilobium,producer,exact,exact
Urtica urens,NA,NA,Rosales,Urticaceae,NA,Urtica,producer,exact,exact
Rumex crispus,NA,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,producer,exact,exact
Rumex obtusifolius,NA,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,producer,exact,exact
Persicaria maculosa,NA,NA,Caryophyllales,Polygonaceae,Polygonoideae,Persicaria,producer,exact,exact
Cirsium palustre,NA,NA,Asterales,Asteraceae,Carduoideae,Cirsium,producer,exact,exact
Cirsium vulgare,NA,NA,Asterales,Asteraceae,Carduoideae,Cirsium,producer,exact,exact
Tripleurospermum indodorum,NA,NA,Asterales,Asteraceae,Carduoideae,Tripleurospermum,producer,exact,exact
Salvinia auriculata,NA,NA,Salviniales,Salviniaceae,NA,Salvinia,producer,exact,exact
Chenopodium album,NA,NA,Caryophyllales,Amaranthaceae,Chenopodioideae,Chenopodium,producer,exact,exact
Stachys sylvatica,NA,NA,Lamiales,Lamiaceae,Lamioideae,Stachys,producer,exact,exact
Plantago major,NA,NA,Lamiales,Plantaginaceae,NA,Plantago,producer,exact,exact
Stellaria media,NA,NA,Caryophyllales,Caryophyllaceae,NA,Stellaria,producer,exact,exact
Matricaria discoidea,NA,NA,Asterales,Asteraceae,Asteroideae,Matricaria,producer,exact,exact
Veronica anagallis-aquatica,NA,NA,Lamiales,Plantaginaceae,NA,Veronica,producer,exact,exact
Poaceae,NA,NA,Poales,Poaceae,NA,NA,producer,exact,family
Galium aparine,NA,NA,Gentianales,Rubiaceae,Rubioideae,Rubieae,producer,exact,exact
Poa ,NA,NA,Poales,Poaceae,Pooideae,Poa,producer,exact,genus
Elytrigia ,NA,NA,Poales,Poaceae,NA,NA,producer,exact,genus
Phalaris arundinacea,NA,NA,Poales,Poaceae,Pooideae,Poa,producer,exact,exact
Lactuca serriola,NA,NA,Asterales,Asteraceae,Cichorioideae,Lactuca,producer,exact,exact
Medicago lupulina,NA,NA,Fabales,Fabaceae,Faboideae,Medicago,producer,exact,exact
Trifolium repens,NA,NA,Fabales,Fabaceae,Faboideae,Trifolium,producer,exact,exact
Sonchus oleraceus,NA,NA,Asterales,Asteraceae,Cichorioideae,Sonchus,producer,exact,exact
Acer pseudoplatanus,NA,NA,Sapindales,Sapindaceae,NA,Acer,producer,exact,exact
Tetragnatha extensa,NA,Arachnida,Araneae,Tetragnathidae,NA,Tetragnatha,predator,family,genus
Tetragnatha montana,NA,Arachnida,Araneae,Tetragnathidae,NA,Tetragnatha,predator,family,genus
Tetragnatha extensa (j),NA,Arachnida,Araneae,Tetragnathidae,NA,Tetragnatha,predator,family,genus
Tetragnatha (j),NA,Arachnida,Araneae,Tetragnathidae,NA,Tetragnatha,predator,family,genus
Pachygnatha clerki,NA,Arachnida,Araneae,Tetragnathidae,NA,Pachygnatha ,predator,family,genus
Heliophanus flavipes,NA,Arachnida,Araneae,Salticidae,NA,Heliophanus,predator,family,genus
Heliophanus cupreus,NA,Arachnida,Araneae,Salticidae,NA,Heliophanus ,predator,family,genus
Heliophanus flavipes (j),NA,Arachnida,Araneae,Salticidae,NA,Heliophanus ,predator,family,genus
Xysticus cristatus,NA,Arachnida,Araneae,Thomisidae,NA,Xysticus,predator,family,genus
Xysticus sabulosus,NA,Arachnida,Araneae,Thomisidae,NA,Xysticus,predator,family,genus
Episinus angulatus,NA,Arachnida,Araneae,Theridiidae,NA,Episinus ,predator,family,family
Enoplognatha ovata,NA,Arachnida,Araneae,Theridiidae,NA,Enoplognatha,predator,family,family
Enoplognatha ovata (j),NA,Arachnida,Araneae,Theridiidae,NA,Enoplognatha,predator,family,family
Theridion blackwalli,NA,Arachnida,Araneae,Gnaphosidae,NA,Theridion ,predator,family,genus
Theridion varians,NA,Arachnida,Araneae,Gnaphosidae,NA,Theridion ,predator,family,genus
Drassodes cupreus,NA,Arachnida,Araneae,Gnaphosidae,NA,Drassodes,predator,family,genus
Drassodes cupreus (j),NA,Arachnida,Araneae,Gnaphosidae,NA,Drassodes,predator,family,genus
Gnaphossidae (j),NA,Arachnida,Araneae,Gnaphosidae,NA,NA,predator,family,family
Clubiona (j),NA,Arachnida,Araneae,Clubionidae,NA,Clubiona ,predator,family,genus
Clubiona diversa,NA,Arachnida,Araneae,Clubionidae,NA,Clubiona ,predator,family,genus
Clubiona diversa (j),NA,Arachnida,Araneae,Clubionidae,NA,Clubiona ,predator,family,genus
Hahnia montana,NA,Arachnida,Araneae,Hahniidae,NA,Hahnia,predator,family,family
Helophora insignis,NA,Arachnida,Araneae,Linyphiidae,NA,Helophora,predator,family,family
Panamomops sulcifrons,NA,Arachnida,Araneae,Linyphiidae,NA,Panamomops,predator,family,family
Erigone vagans,NA,Arachnida,Araneae,Linyphiidae,NA,Erigone,predator,family,genus
Erigone longipalpis,NA,Arachnida,Araneae,Linyphiidae,NA,Erigone,predator,family,genus
Lepthyphantes alacris,NA,Arachnida,Araneae,Linyphiidae,NA,Lepthyphantes,predator,family,genus
Lepthyphantes (j),NA,Arachnida,Araneae,Linyphiidae,NA,Lepthyphantes,predator,family,genus
Metopobactrus prominulus,NA,Arachnida,Araneae,Linyphiidae,NA,Metopobactrus,predator,family,family
Porrhomma pygmaeum,NA,Arachnida,Araneae,Linyphiidae,NA,Porrhomma,predator,family,genus
Hylyphantes graminicola,NA,Arachnida,Araneae,Linyphiidae,NA,Hylyphantes,predator,family,family
Hypomma bituberculatum,NA,Arachnida,Araneae,Linyphiidae,NA,Hypomma,predator,family,family
Linyphiidae (j),NA,Arachnida,Araneae,Linyphiidae,NA,Linyphiidae,predator,family,family
Stemonyphates lineatus (j),NA,Arachnida,Araneae,Linyphiidae,NA,Stemonyphates,predator,family,family
Gnathonarium dentatum,NA,Arachnida,Araneae,Linyphiidae,NA,Gnathonarium,predator,family,family
Araneus diadematus,NA,Arachnida,Araneae,Araenidae,NA,Araneus,predator,family,exact
Larinoides cornutus,NA,Arachnida,Araneae,Araenidae,NA,Larinoides,predator,family,family
Larinoides cornutus (j),NA,Arachnida,Araneae,Araenidae,NA,Larinoides,predator,family,family
Araenidae (j),NA,Arachnida,Araneae,Araenidae,NA,NA,predator,family,family
Opiliones,NA,Arachnida,Opiliones,NA,NA,NA,predator,family,order
Acari,NA,Arachnida,Acari,NA,NA,NA,omnivore,family,order
Phaedon cochleariae,NA,Insecta,Coleoptera,Chrysomelidae,Chrysomelinae,Phaedon,herbivore,exact,exact
Altica lythri,NA,Insecta,Coleoptera,Chrysomelidae,Alticinae,Altica,herbivore,exact,genus
Alticini,NA,Insecta,Coleoptera,Chrysomelidae,Alticinae,Alticini,herbivore,genus,subfamily
Chrysomelidae (l),NA,Insecta,Coleoptera,Chrysomelidae,NA,NA,herbivore,genus,family
Galerucella sagittariae,NA,Insecta,Coleoptera,Chrysomelidae,Galerucinae,Galerucella,herbivore,exact,exact
